            Product Name,            Price,            Discount(%),No. of Sells,No. of Review,            Location,            Product Link,            Product ID,            SKU,,
Combo 2 PIS Comfortable casual T-shirt for men,à§³ 199,38% Off,9 sold,-1,Dhaka,//www.daraz.com.bd/products/2-i391046127.html,391046127,391046127_BD-2107345627,,
Combo 2 PIS Comfortable casual T-shirt for men,à§³ 199,38% Off,9 sold,-1,Dhaka,//www.daraz.com.bd/products/2-i391046127.html,391046127,391046127_BD-2107345627,,
New Stylist Printed  Half Sleeve T Shirt For Men,à§³ 98,72% Off,8.8K sold,-800,Dhaka,//www.daraz.com.bd/products/-i226355635.html,226355635,226355635_BD-1969289060,,
Babchi Ekto aVadro Hobo Desing Soft & Comfortable T-shirt For men new 2024,à§³ 95,52% Off,17 sold,N/A,Dhaka,//www.daraz.com.bd/products/babchi-ekto-avadro-hobo-desing-2024-i387638707.html,387638707,387638707_BD-1933076896,,
"Maddo's aesthetic, cotton drop shoulder t-shirt",à§³ 500,50% Off,35 sold,-3,Dhaka,//www.daraz.com.bd/products/-i387055813.html,387055813,387055813_BD-1929890673,,
Olive Polyester Short Sleeve T-Shirt for Men,à§³ 157,50% Off,3.4K sold,-328,Dhaka,//www.daraz.com.bd/products/-i132668666.html,132668666,132668666_BD-1053836628,,
Multi Color T Shirt For Men - Comfortable,à§³ 90,64% Off,42 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391780478.html,391780478,391780478_BD-1954907500,,
Casual Printed Jersey T-Shirt for Men's (Joto Crush Toto Bash),à§³ 90,N/A,1.3K sold,-59,Dhaka,//www.daraz.com.bd/products/-i333360720.html,333360720,333360720_BD-1646492844,,
Comfortable Jersey Febric Printed Black T-Shirt for Men - Comfort Style with Half Sleeve Round Collar T-Shirt,à§³ 89,50% Off,2.2K sold,-109,Dhaka,//www.daraz.com.bd/products/comfortable-jersey-febric-printed-black-t-shirt-for-men-comfort-style-with-half-sleeve-round-collar-t-shirt-i266715505.html,266715505,266715505_BD-1238360067,,
Daraz New Desing Soft & Comfortable T-shirt For Men,à§³ 99,50% Off,23 sold,-1,Dhaka,//www.daraz.com.bd/products/-i391040511.html,391040511,391040511_BD-2078265349,,
Jersey T-Shirt For Man| Half Hand T Shirt For Men,à§³ 90,64% Off,18 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391462662.html,391462662,391462662_BD-1953540347,,
T-Shirt Fabric Soft And Comfortable For Men All Season,à§³ 90,78% Off,17 sold,-2,Dhaka,//www.daraz.com.bd/products/-i392380469.html,392380469,392380469_BD-1956957026,,
Lamborgani Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt,à§³ 99,50% Off,352 sold,-20,Dhaka,//www.daraz.com.bd/products/-i355985488.html,355985488,355985488_BD-1751297032,,
Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity,à§³ 90,64% Off,28 sold,-1,Dhaka,//www.daraz.com.bd/products/-i391441562.html,391441562,391441562_BD-1953247472,,
Black Combo T-Shirt & trouser Pant For Man,à§³ 425,29% Off,298 sold,-27,Dhaka,//www.daraz.com.bd/products/-i340800582.html,340800582,340800582_BD-1670784138,,
boys Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,à§³ 92,49% Off,887 sold,-39,Dhaka,//www.daraz.com.bd/products/-i342892162.html,342892162,342892162_BD-1672867960,,
"highway half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",à§³ 96,46% Off,175 sold,-7,Dhaka,//www.daraz.com.bd/products/-i351467493.html,351467493,351467493_BD-1723793210,,
Love Summer Stylist T-Shirt - Tshirt For Men - T Shirt For Man Tabassum Fashion LTD,à§³ 90,55% Off,14 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391808240.html,391808240,391808240_BD-1954982725,,
Black Cotton Short Sleeve T-Shirt For Men - T Shirt For Man,à§³ 110,69% Off,1.9K sold,-180,Dhaka,//www.daraz.com.bd/products/black-cotton-short-sleeve-t-shirt-for-men-t-shirt-for-man-i143636151.html,143636151,143636151_BD-1068004378,,
Black Cotton Combo T-Shirt & trouser Pant For Man,à§³ 357,55% Off,365 sold,-24,Dhaka,//www.daraz.com.bd/products/-i346212880.html,346212880,346212880_BD-1694275213,,
Summer Printed Combo T-Shirt & Pant - Black - T-Shirt - T Shirt For Man - T Shirt For Man - T Shirt For Man,à§³ 375,37% Off,1.6K sold,-95,Dhaka,//www.daraz.com.bd/products/-i347638839.html,347638839,347638839_BD-1700635052,,
HatE & LoVe Design Soft & Comfortable T-shirt For men new 2024,à§³ 95,52% Off,N/A,N/A,Dhaka,//www.daraz.com.bd/products/2024-i387641544.html,387641544,387641544_BD-1933080438,,
Stylist premium Quality Summer T- Shirt For Men -  T Shirt,à§³ 165,27% Off,26 sold,-1,Dhaka,//www.daraz.com.bd/products/-i389961569.html,389961569,389961569_BD-1946112521,,
2023 Summer New Fashionable T-shirt For Men [ High Quality Classical Tops ],à§³ 210,68% Off,7.9K sold,-675,Dhaka,//www.daraz.com.bd/products/2023-i313948897.html,313948897,313948897_BD-1408974526,,
Always Smile  Design Soft & Comfortable Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,à§³ 94,50% Off,N/A,N/A,Dhaka,//www.daraz.com.bd/products/-i395719196.html,395719196,395719196_BD-1967369856,,
Premium Quality - New T shirt -Febric soft and comfortable to wear - T Shirt - T Shirt For Man - Couture - High-end - Iconic Style,à§³ 79,60% Off,83 sold,-9,Dhaka,//www.daraz.com.bd/products/-i382643159.html,382643159,382643159_BD-1916165054,,
Solid Casual Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season,à§³ 95,37% Off,1.3K sold,-96,Dhaka,//www.daraz.com.bd/products/solid-casual-mens-t-shirt-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i248534191.html,248534191,248534191_BD-1194686587,,
Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt,à§³ 90,64% Off,8 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i392385598.html,392385598,392385598_BD-1956984148,,
Anime Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt,à§³ 75,79% Off,756 sold,-34,Dhaka,//www.daraz.com.bd/products/-i361431457.html,361431457,361431457_BD-1784804810,,
Premium Jarsy KApor Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt,à§³ 90,61% Off,7 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i392384397.html,392384397,392384397_BD-1956928917,,
2 pis combo New T shirt -Febric soft and comfortable to wear - T Shirt For Man,à§³ 193,44% Off,2.1K sold,-163,Dhaka,//www.daraz.com.bd/products/2-i343711401.html,343711401,343711401_BD-1676577640,,
Printed summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt,à§³ 283,56% Off,1.9K sold,-143,Dhaka,//www.daraz.com.bd/products/3-i318599187.html,318599187,318599187_BD-1453558559,,
Splendid Indispensable -Quality And Durablity -High Quality Cotton&Polyester T-shirt & 2 Quarter Pants For Man- Innovative,à§³ 356,46% Off,7.0K sold,-529,Dhaka,//www.daraz.com.bd/products/2-i191909875.html,191909875,191909875_BD-1138825296,,
Premium Quality mesh fabric T-Shirt for Men,à§³ 237,53% Off,18 sold,-4,Rajshahi,//www.daraz.com.bd/products/-i388877225.html,388877225,388877225_BD-1938297710,,
6 Combo T-Shirt For Man| Half Sleeve T Shirt For Men | T-Shirts For Men,à§³ 556,31% Off,1.4K sold,-223,Dhaka,//www.daraz.com.bd/products/6-i270725233.html,270725233,270725233_BD-1612081777,,
Always Smile T-Shirt for Man - Half Sleeve T-Shirt - Express Positivity with Comfortable and Stylish Fashion,à§³ 94,47% Off,5.3K sold,-433,Dhaka,//www.daraz.com.bd/products/always-smile-t-shirt-for-man-half-sleeve-t-shirt-express-positivity-with-comfortable-and-stylish-fashion-i266379836.html,266379836,266379836_BD-1238107899,,
Vabsi Ektu Vodro Hobo Printed Casual T-Shirt for Men - Showcase Unique Style in Your Casual and Stylish Fashion,à§³ 99,55% Off,2.0K sold,-78,Dhaka,//www.daraz.com.bd/products/vabsi-ektu-vodro-hobo-i345328368.html,345328368,345328368_BD-2078227197,,
Printed Casual T-Shirt//Tshirt For Men,à§³ 90,64% Off,17 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391453713.html,391453713,391453713_BD-1953530019,,
2 pse Jokar Combbo tshirt for men And Women,à§³ 199,45% Off,11 sold,N/A,Dhaka,//www.daraz.com.bd/products/2-i391044474.html,391044474,391044474_BD-1952505619,,
Grey&Whit Poly-Cotton T-Shirt For Men,à§³ 109,56% Off,1.9K sold,-178,Dhaka,//www.daraz.com.bd/products/-i253190397.html,253190397,253190397_BD-1198636941,,
à¦“à¦°à¦¾ à¦•à¦¯à¦¼ à¦“à¦°à¦¾à¦‡ à¦Ÿà¦ª à¦“à¦°à¦¾à¦‡ à¦¸à¦¬ à¦†à¦®à¦°à¦¾ à¦•à¦¿ à¦«à¦¾à¦“ à¦¨à¦¿ à¦­à¦¾à¦‡à¦¯à¦¼à¦¾ Half Sleeve T-Shirt For Men - off no brand - Soft and comfortabl,à§³ 99,51% Off,10 sold,-1,Dhaka,//www.daraz.com.bd/products/airr-i391043479.html,391043479,391043479_BD-1952501509,,
best Premium T-Shirts For Men,à§³ 99,50% Off,1.1K sold,-46,Dhaka,//www.daraz.com.bd/products/-i362505268.html,362505268,362505268_BD-1788590243,,
4 pis combo casual Printed T Shirt For Men,à§³ 389,14% Off,663 sold,-70,Dhaka,//www.daraz.com.bd/products/4-i325883433.html,325883433,325883433_BD-1565764183,,
tylish Unisex White And Ash Color Tshirts - Tshirt For Men,à§³ 90,64% Off,N/A,N/A,Dhaka,//www.daraz.com.bd/products/-i391459266.html,391459266,391459266_BD-1953400608,,
2 Pis Stylist Summer - Tshirt For Men,à§³ 199,50% Off,N/A,-1,Dhaka,//www.daraz.com.bd/products/2-i391040825.html,391040825,391040825_BD-1952506609,,
Men New Fashionable New Design Digital Printed Boys T-Shirt for Men - Artful Fashion for Casual Occasions and Moderate Weather,à§³ 90,64% Off,10 sold,N/A,Dhaka,//www.daraz.com.bd/products/-i391440236.html,391440236,391440236_BD-1953182170,,
"hip hop half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",à§³ 93,48% Off,2.3K sold,-76,Dhaka,//www.daraz.com.bd/products/-i351469213.html,351469213,351469213_BD-1723795560,,
Premium Quality mesh fabric T-Shirt for  Men,à§³ 254,61% Off,2.9K sold,-328,Rajshahi,//www.daraz.com.bd/products/-i314678238.html,314678238,314678238_BD-1416283558,,
